"qseqid","sseqid","protein","drugs","nod","pident","len","mis","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"975885972","AMA12087.1","Genome polyprotein","DB04473","1","56.41","3427","1443","28","1","3418","1","3385","0","3976"
"975885972","AMA12087.1","Genome polyprotein","DB01693 DB01752","2","55.35","3418","1484","24","3","3416","2","3381","0","3913"
"975885972","AMA12087.1","Genome polyprotein","DB04473","1","49.71","1028","501","10","291","1317","1","1013","0","1089"
"975885972","AMA12087.1","Genome polyprotein","DB04473","1","65.63","646","215","4","1476","2119","1043","1683","0","890"
"975885972","AMA12087.1","Genome polyprotein","DB08644","1","23.99","421","270","14","1535","1932","1065","1458","4.00E-12","70.5"
"975885972","AMA12087.1","Genome polyprotein","DB08701","1","24.76","424","269","14","1536","1936","1070","1466","9.00E-12","69.3"
"975885972","AMA12087.1","Genome polyprotein","DB07238","1","23.52","421","272","14","1535","1932","1065","1458","5.00E-11","66.6"
"975885972","AMA12087.1","Genome polyprotein","DB05868 DB06038 DB06058 DB07582","4","23.52","421","272","14","1535","1932","1065","1458","3.00E-10","64.3"
"975885972","AMA12087.1","Genome polyprotein","DB06913 DB07085 DB07185 DB07273 DB07275 DB07547 DB07770 DB08556","8","23.39","449","291","15","1535","1957","1065","1486","3.00E-10","64.3"
"975885972","AMA12087.1","Genome polyprotein","DB02331 DB03605 DB04005 DB04137 DB04298 DB06974 DB07062 DB07169 DB07199 DB07200 DB07238 DB07414 DB07570 DB08031 DB08278 DB08279 DB08390 DB08481 DB08578 DB08579 DB08580 DB08581 DB08582 DB08701 DB08706 DB08710","26","23.39","449","291","15","1535","1957","1065","1486","4.00E-10","63.9"
"975885972","AMA12087.1","Genome polyprotein","DB01720 DB04005","2","22.84","429","287","13","1522","1932","1056","1458","8.00E-10","62.8"
"975885972","AMA12087.1","Genome polyprotein","DB04137","1","25.69","436","285","18","1635","2044","1840","2262","2.00E-09","61.6"
"975885972","AMA12087.1","Genome polyprotein","DB04137","1","25.26","190","96","6","3055","3233","3614","3768","9.00E-05","46.2"
"975885972","AMA12087.1","Genome polyprotein","DB08747","1","22.82","425","278","13","1535","1936","1065","1462","3.00E-09","60.8"
"975885972","AMA12087.1","Genome polyprotein","DB03388 DB03647","2","22.7","423","279","13","1536","1936","1070","1466","1.00E-08","58.9"
"975885972","AMA12087.1","NS3/4A protein","DB05521 DB08873","2","24.32","444","265","18","1513","1927","26","427","2.00E-07","54.7"
"975885972","AMA12087.1","NH(3)-dependent NAD(+) synthetase","DB04099","1","34.48","87","48","2","968","1045","120","206","0.17","34.3"
"975885972","AMA12087.1","Hepatocyte growth factor","DB02264 DB03959 DB05030 DB05434","4","26.19","84","58","2","1026","1105","152","235","2.2","31.2"
"975885972","AMA12087.1","NS3 protease","DB06290 DB07582","2","24.39","123","75","4","1545","1659","49","161","2.4","30.4"
"975885972","AMA12087.1","Fumarate reductase flavoprotein subunit","DB07669","1","27.22","180","105","9","2488","2645","201","376","8.3","29.6"
"975885970","AMA12086.1","Genome polyprotein","DB04473","1","56.38","3427","1444","28","1","3418","1","3385","0","3974"
"975885970","AMA12086.1","Genome polyprotein","DB01693 DB01752","2","55.32","3418","1485","24","3","3416","2","3381","0","3911"
"975885970","AMA12086.1","Genome polyprotein","DB04473","1","49.71","1028","501","10","291","1317","1","1013","0","1089"
"975885970","AMA12086.1","Genome polyprotein","DB04473","1","65.63","646","215","4","1476","2119","1043","1683","0","890"
"975885970","AMA12086.1","Genome polyprotein","DB08644","1","23.99","421","270","14","1535","1932","1065","1458","4.00E-12","70.5"
"975885970","AMA12086.1","Genome polyprotein","DB08701","1","24.76","424","269","14","1536","1936","1070","1466","9.00E-12","69.3"
"975885970","AMA12086.1","Genome polyprotein","DB07238","1","23.52","421","272","14","1535","1932","1065","1458","5.00E-11","66.6"
